SEXUA,IZENA,ABIZENA,ADINA,ADIN TARTEA,ESKARMENTUA,ALTUERA,MASA,MAILA,ESTILOA,PRESA
Gizona,OSCAR,CARRASCO,27.0,Gaztea,4.0,189.0,60.28,Hasiberria,Nahasia,Sloper
Gizona,MIGUEL,BENITEZ,54.0,Heldua,2.0,165.0,78.19,Erdikoa,Dinamikoa,Mono
Gizona,ANGEL,CASTRO,14.0,Nerabea,3.0,165.0,61.54,Aurreratua,Nahasia,Crack
Gizona,ANTONIO,SERRANO,35.0,Gaztea,8.0,183.0,72.74,Erdikoa,Estatikoa,Pinch
Gizona,FRANCISCO JOSE,MARIN,45.0,Heldua,34.0,170.0,83.3,Aurreratua,Dinamikoa,Pocket
Gizona,ALBERTO,VEGA,15.0,Nerabea,0.0,169.0,55.16,Erdikoa,Estatikoa,Crimp
Emakumea,MARIA JOSEFA,PASTOR,28.0,Gaztea,5.0,160.0,72.8,Erdikoa,Nahasia,Pinch
Emakumea,PILAR,CASTILLO,20.0,Nerabea,5.0,161.0,63.96,Aurreratua,Estatikoa,Pinch
Emakumea,JUNE,SANTOS,20.0,Nerabea,4.0,166.0,61.07,Profesionala,Nahasia,Edge
Emakumea,MARIA ANGELES,GARCIA,41.0,Heldua,4.0,174.0,67.96,Erdikoa,Estatikoa,Crimp
Emakumea,MARIA LUISA,FLORES,14.0,Nerabea,0.0,156.0,60.11,Hasiberria,Dinamikoa,Mono
Emakumea,MAITE,BLANCO,31.0,Gaztea,10.0,161.0,61.29,Erdikoa,Dinamikoa,Pinch
Emakumea,ROSA MARIA,LOZANO,30.0,Gaztea,4.0,170.0,70.05,Aurreratua,Estatikoa,Sloper
Emakumea,JUNE,MONTERO,18.0,Nerabea,7.0,155.0,59.44,Profesionala,Dinamikoa,Edge
Gizona,JOSU,ORTIZ,19.0,Nerabea,4.0,162.0,63.37,Profesionala,Estatikoa,Jug
Emakumea,ANA MARIA,CABRERA,32.0,Gaztea,9.0,161.0,71.82,Erdikoa,Nahasia,Crimp
Emakumea,ANE,VELASCO,31.0,Gaztea,3.0,180.0,55.03,Hasiberria,Dinamikoa,Sloper
Gizona,JUAN JOSE,GALLARDO,15.0,Nerabea,4.0,170.0,73.47,Profesionala,Estatikoa,Sloper
Emakumea,AMPARO,PEREZ,20.0,Nerabea,4.0,159.0,58.69,Erdikoa,Dinamikoa,Sloper
Emakumea,ESTIBALIZ,CABALLERO,33.0,Gaztea,8.0,166.0,73.79,Aurreratua,Estatikoa,Pocket
Gizona,CARLOS,REYES,23.0,Gaztea,8.0,170.0,71.36,Profesionala,Dinamikoa,Pinch
Gizona,FRANCISCO JOSE,VARGAS,18.0,Nerabea,3.0,166.0,60.54,Erdikoa,Nahasia,Crack
Gizona,ANTONIO,NAVARRO,26.0,Gaztea,10.0,171.0,78.14,Profesionala,Dinamikoa,Sloper
Emakumea,NURIA,CRUZ,19.0,Nerabea,4.0,157.0,61.08,Aurreratua,Nahasia,Pinch
Emakumea,CRISTINA,SANCHEZ,41.0,Heldua,8.0,161.0,75.28,Elitea,Estatikoa,Sloper
Emakumea,DOLORES,ROJAS,35.0,Gaztea,13.0,166.0,74.15,Aurreratua,Dinamikoa,Sloper
Gizona,MARCOS,CABRERA,19.0,Nerabea,0.0,174.0,66.16,Hasiberria,Estatikoa,Pocket
Emakumea,CARMEN,VAZQUEZ,20.0,Nerabea,4.0,162.0,59.45,Erdikoa,Estatikoa,Volume
Emakumea,MARIA PILAR,GOMEZ,29.0,Gaztea,4.0,170.0,55.49,Aurreratua,Dinamikoa,Sloper
Emakumea,MARIA LLANOS,MENDEZ,31.0,Gaztea,1.0,161.0,62.78,Hasiberria,Nahasia,Jug
Emakumea,IRATXE,PARRA,24.0,Gaztea,2.0,170.0,56.82,Aurreratua,Dinamikoa,Sloper
Emakumea,AMPARO,GONZALEZ,24.0,Gaztea,16.0,160.0,78.36,Erdikoa,Nahasia,Mono
Emakumea,MARIA JOSEFA,VEGA,28.0,Gaztea,5.0,153.0,65.56,Erdikoa,Estatikoa,Crimp
Gizona,SERGIO,MARQUEZ,16.0,Nerabea,2.0,173.0,59.07,Erdikoa,Nahasia,Edge
Emakumea,AMPARO,RAMIREZ,32.0,Gaztea,2.0,162.0,82.82,Erdikoa,Dinamikoa,Sloper
Gizona,XABIER,GARRIDO,54.0,Heldua,9.0,181.0,83.79,Aurreratua,Nahasia,Crimp
Gizona,IÑAKI,ALVAREZ,24.0,Gaztea,10.0,165.0,80.41,Aurreratua,Dinamikoa,Mono
Gizona,JOAQUIN,CARMONA,35.0,Gaztea,16.0,181.0,67.2,Profesionala,Estatikoa,Sloper
Emakumea,SARA,MORENO,21.0,Gaztea,8.0,161.0,63.46,Aurreratua,Dinamikoa,Jug
Gizona,ALBERTO,SANZ,33.0,Gaztea,5.0,178.0,75.34,Erdikoa,Estatikoa,Pocket
Gizona,IÑAKI,ROMERO,31.0,Gaztea,3.0,175.0,89.2,Erdikoa,Nahasia,Sloper
Gizona,JESUS MARIA,DELGADO,17.0,Nerabea,0.0,165.0,53.05,Hasiberria,Dinamikoa,Pinch
Gizona,GORKA,FUENTES,24.0,Gaztea,12.0,184.0,79.85,Erdikoa,Nahasia,Edge
Gizona,CARLOS,GARRIDO,51.0,Heldua,2.0,171.0,81.1,Hasiberria,Nahasia,Crimp
Gizona,FERNANDO,VICENTE,26.0,Gaztea,0.0,184.0,82.3,Erdikoa,Nahasia,Jug
Gizona,JOSE MARIA,HERRERO,14.0,Nerabea,5.0,161.0,53.05,Erdikoa,Dinamikoa,Crack
Emakumea,LAURA,SANTOS,22.0,Gaztea,14.0,176.0,74.43,Profesionala,Nahasia,Mono
Gizona,ALFONSO,DOMINGUEZ,22.0,Gaztea,5.0,179.0,88.01,Aurreratua,Dinamikoa,Edge
Gizona,FRANCISCO,IBAÑEZ,52.0,Heldua,2.0,166.0,84.89,Erdikoa,Nahasia,Pinch
Gizona,ANDRES,MORENO,33.0,Gaztea,9.0,168.0,79.52,Aurreratua,Estatikoa,Crimp
Gizona,JAVIER,VIDAL,28.0,Gaztea,2.0,166.0,77.87,Erdikoa,Nahasia,Pinch
Emakumea,CRISTINA,IGLESIAS,20.0,Nerabea,0.0,165.0,73.89,Hasiberria,Estatikoa,Pinch
Gizona,JOSE MIGUEL,IGLESIAS,15.0,Nerabea,1.0,178.0,78.85,Hasiberria,Estatikoa,Sloper
Gizona,IVAN,JIMENEZ,27.0,Gaztea,7.0,172.0,82.96,Elitea,Nahasia,Mono
Gizona,JOSE LUIS,HERNANDEZ,33.0,Gaztea,2.0,189.0,60.98,Aurreratua,Nahasia,Jug
Gizona,ANDER,CANO,55.0,Heldua,5.0,179.0,80.88,Aurreratua,Dinamikoa,Pinch
Gizona,PABLO,GALLEGO,25.0,Gaztea,2.0,187.0,70.68,Hasiberria,Nahasia,Volume
Emakumea,JUNE,GUTIERREZ,20.0,Nerabea,8.0,166.0,48.95,Profesionala,Nahasia,Mono
Emakumea,AINHOA,IGLESIAS,31.0,Gaztea,14.0,154.0,61.86,Aurreratua,Estatikoa,Pocket
Emakumea,MAITE,SANTIAGO,30.0,Gaztea,1.0,156.0,79.07,Erdikoa,Nahasia,Crack
Gizona,FRANCISCO,MORA,46.0,Heldua,5.0,174.0,82.5,Erdikoa,Estatikoa,Crack
Gizona,FRANCISCO,SOLER,27.0,Gaztea,4.0,167.0,68.76,Aurreratua,Estatikoa,Jug
Gizona,ROBERTO,NAVARRO,14.0,Nerabea,2.0,184.0,63.04,Erdikoa,Estatikoa,Jug
Gizona,ASIER,PASTOR,33.0,Gaztea,1.0,167.0,73.72,Erdikoa,Nahasia,Pinch
Gizona,MANUEL,LORENZO,20.0,Nerabea,1.0,172.0,69.19,Erdikoa,Nahasia,Pinch
Gizona,CARLOS,MUÑOZ,16.0,Nerabea,6.0,175.0,66.1,Aurreratua,Nahasia,Sloper
Emakumea,FRANCISCA,DIAZ,25.0,Gaztea,10.0,171.0,60.54,Aurreratua,Estatikoa,Edge
Emakumea,MARIA LLANOS,PASCUAL,20.0,Nerabea,1.0,161.0,58.87,Hasiberria,Estatikoa,Pinch
Gizona,JUAN,FERNANDEZ,16.0,Nerabea,5.0,184.0,64.15,Erdikoa,Nahasia,Sloper
Gizona,JOSE ANTONIO,CARMONA,30.0,Gaztea,4.0,184.0,85.57,Erdikoa,Estatikoa,Crimp
Emakumea,MARIA JOSEFA,RAMIREZ,28.0,Gaztea,5.0,178.0,55.47,Aurreratua,Nahasia,Edge
Gizona,RAMON,SANTOS,17.0,Nerabea,14.0,178.0,71.76,Aurreratua,Estatikoa,Mono
Gizona,ALVARO,GOMEZ,25.0,Gaztea,1.0,184.0,64.32,Hasiberria,Nahasia,Mono
Gizona,JOSE MARIA,GALLARDO,26.0,Gaztea,9.0,183.0,71.66,Erdikoa,Nahasia,Sloper
Emakumea,MAITE,AGUILAR,14.0,Nerabea,3.0,164.0,58.02,Profesionala,Estatikoa,Pocket
Gizona,FRANCISCO JAVIER,NAVARRO,29.0,Gaztea,5.0,163.0,64.17,Aurreratua,Dinamikoa,Sloper
Gizona,JESUS,GOMEZ,18.0,Nerabea,4.0,172.0,73.68,Aurreratua,Estatikoa,Mono
Gizona,JOSE MARIA,FLORES,23.0,Gaztea,15.0,194.0,74.41,Profesionala,Nahasia,Edge
Emakumea,PAULA,MOYA,29.0,Gaztea,2.0,152.0,55.97,Erdikoa,Estatikoa,Volume
Emakumea,BEATRIZ,VEGA,14.0,Nerabea,6.0,167.0,67.36,Profesionala,Nahasia,Pocket
Emakumea,ANGELA,HERNANDEZ,29.0,Gaztea,0.0,178.0,70.37,Hasiberria,Dinamikoa,Pinch
Emakumea,MARIA CARMEN,ROMERO,40.0,Heldua,3.0,156.0,79.56,Aurreratua,Nahasia,Edge
Emakumea,LEIRE,LORENZO,29.0,Gaztea,10.0,160.0,61.36,Aurreratua,Dinamikoa,Sloper
Gizona,EMILIO,CABALLERO,16.0,Nerabea,3.0,168.0,63.58,Erdikoa,Dinamikoa,Mono
Emakumea,BEGOÑA,MORENO,25.0,Gaztea,3.0,170.0,60.02,Erdikoa,Nahasia,Crimp
Emakumea,NEREA,MENDEZ,16.0,Nerabea,8.0,165.0,45.89,Erdikoa,Nahasia,Volume
Emakumea,MARIA PILAR,JIMENEZ,14.0,Nerabea,2.0,161.0,74.7,Erdikoa,Dinamikoa,Volume
Gizona,JOSE MANUEL,DIAZ,42.0,Heldua,0.0,170.0,84.22,Hasiberria,Nahasia,Mono
Gizona,JORGE,PASCUAL,31.0,Gaztea,0.0,162.0,84.58,Hasiberria,Dinamikoa,Edge
Emakumea,MARIA LLANOS,MARQUEZ,21.0,Gaztea,7.0,168.0,68.59,Erdikoa,Estatikoa,Sloper
Gizona,VICENTE,TORRES,25.0,Gaztea,6.0,171.0,77.39,Profesionala,Nahasia,Mono
Gizona,FERNANDO,SANTIAGO,14.0,Nerabea,6.0,170.0,60.49,Aurreratua,Nahasia,Jug
Emakumea,ELENA,SANTIAGO,36.0,Heldua,6.0,153.0,68.08,Aurreratua,Nahasia,Sloper
Gizona,FRANCISCO,LOZANO,48.0,Heldua,44.0,178.0,77.1,Profesionala,Estatikoa,Jug
Gizona,RAFAEL,REYES,46.0,Heldua,9.0,174.0,82.18,Aurreratua,Dinamikoa,Crimp
Gizona,PABLO,GUERRERO,17.0,Nerabea,6.0,169.0,61.38,Erdikoa,Estatikoa,Mono
Gizona,JOSE ANTONIO,GALLARDO,51.0,Heldua,1.0,179.0,80.64,Hasiberria,Estatikoa,Crimp
Emakumea,LEIRE,LOZANO,21.0,Gaztea,10.0,163.0,62.18,Profesionala,Nahasia,Sloper
Emakumea,MARIA DOLORES,RODRIGUEZ,16.0,Nerabea,7.0,164.0,53.26,Profesionala,Dinamikoa,Sloper
Emakumea,MARIA LUISA,ROJAS,17.0,Nerabea,7.0,163.0,64.45,Profesionala,Nahasia,Sloper
Emakumea,CRISTINA,CABALLERO,35.0,Gaztea,6.0,176.0,71.76,Aurreratua,Estatikoa,Sloper
Emakumea,AMPARO,FUENTES,44.0,Heldua,2.0,165.0,79.91,Erdikoa,Estatikoa,Mono
Gizona,MIGUEL ANGEL,CRUZ,31.0,Gaztea,0.0,173.0,75.92,Erdikoa,Nahasia,Crack
Gizona,XABIER,FLORES,30.0,Gaztea,5.0,192.0,65.31,Aurreratua,Nahasia,Crimp
Gizona,JUAN,PEREZ,26.0,Gaztea,8.0,165.0,74.03,Erdikoa,Estatikoa,Jug
Gizona,DAVID,FERRER,22.0,Gaztea,9.0,180.0,70.03,Profesionala,Dinamikoa,Crack
Emakumea,MARIA PILAR,GALLEGO,25.0,Gaztea,9.0,164.0,69.23,Aurreratua,Dinamikoa,Pinch
Emakumea,JOSEFA,RODRIGUEZ,18.0,Nerabea,3.0,156.0,64.92,Erdikoa,Estatikoa,Mono
Emakumea,DOLORES,GALLEGO,25.0,Gaztea,4.0,155.0,81.05,Aurreratua,Dinamikoa,Crack
Emakumea,AMPARO,VELASCO,31.0,Gaztea,4.0,163.0,67.5,Aurreratua,Estatikoa,Crimp
Emakumea,MARIA,SUAREZ,16.0,Nerabea,8.0,165.0,49.38,Aurreratua,Nahasia,Crimp
Gizona,JAVIER,IBAÑEZ,26.0,Gaztea,6.0,166.0,60.97,Erdikoa,Dinamikoa,Pinch
Gizona,JUAN CARLOS,FERRER,25.0,Gaztea,3.0,169.0,67.42,Aurreratua,Estatikoa,Volume
Gizona,ANDER,GARRIDO,25.0,Gaztea,17.0,173.0,79.96,Profesionala,Nahasia,Sloper
Emakumea,SUSANA,GARRIDO,47.0,Heldua,6.0,172.0,75.52,Profesionala,Nahasia,Crimp
Gizona,RUBEN,MUÑOZ,29.0,Gaztea,6.0,167.0,75.66,Profesionala,Estatikoa,Sloper
Gizona,ALFONSO,LOZANO,27.0,Gaztea,10.0,193.0,84.48,Aurreratua,Estatikoa,Mono
Emakumea,ELENA,CRUZ,30.0,Gaztea,5.0,165.0,74.21,Aurreratua,Dinamikoa,Volume
Emakumea,ANA MARIA,RUIZ,40.0,Heldua,3.0,159.0,84.44,Erdikoa,Estatikoa,Edge
Emakumea,SONIA,FLORES,41.0,Heldua,0.0,162.0,79.66,Hasiberria,Dinamikoa,Jug
Gizona,ANDRES,MOYA,30.0,Gaztea,1.0,195.0,87.39,Hasiberria,Nahasia,Crimp
Gizona,JOSE,ROMAN,23.0,Gaztea,2.0,181.0,70.6,Profesionala,Dinamikoa,Crimp
Gizona,MARIO,RUBIO,33.0,Gaztea,2.0,187.0,72.92,Erdikoa,Dinamikoa,Crimp
Gizona,IBAI,PASCUAL,14.0,Nerabea,3.0,171.0,53.24,Aurreratua,Nahasia,Crimp
Gizona,ANDRES,CRESPO,49.0,Heldua,30.0,166.0,77.71,Profesionala,Nahasia,Sloper
Emakumea,ISABEL,MORENO,43.0,Heldua,5.0,172.0,66.51,Aurreratua,Estatikoa,Sloper
Emakumea,MARIA TERESA,ROJAS,31.0,Gaztea,5.0,170.0,65.67,Aurreratua,Estatikoa,Jug
Gizona,OIER,LORENZO,55.0,Heldua,1.0,180.0,77.65,Erdikoa,Estatikoa,Crack
Gizona,ADRIAN,ROMERO,29.0,Gaztea,1.0,164.0,64.42,Hasiberria,Estatikoa,Pocket
Gizona,ALVARO,MARQUEZ,31.0,Gaztea,1.0,172.0,71.64,Erdikoa,Dinamikoa,Jug
Gizona,CARLOS,PEÑA,27.0,Gaztea,1.0,189.0,83.04,Hasiberria,Estatikoa,Pinch
Emakumea,FRANCISCA,TORRES,18.0,Nerabea,5.0,165.0,61.56,Erdikoa,Estatikoa,Sloper
Gizona,JUAN,FLORES,30.0,Gaztea,3.0,176.0,70.92,Aurreratua,Estatikoa,Crimp
Gizona,ROBERTO,LORENZO,33.0,Gaztea,2.0,193.0,70.14,Erdikoa,Dinamikoa,Crimp
Emakumea,JUANA,LOPEZ,55.0,Heldua,2.0,160.0,74.17,Erdikoa,Dinamikoa,Crimp
Emakumea,ANGELA,SOLER,40.0,Heldua,1.0,163.0,73.14,Hasiberria,Estatikoa,Sloper
Gizona,FRANCISCO,GUERRERO,22.0,Gaztea,6.0,194.0,67.91,Aurreratua,Nahasia,Crack
Gizona,JORGE,AGUILAR,26.0,Gaztea,9.0,170.0,87.67,Profesionala,Dinamikoa,Crack
Emakumea,MARIA ISABEL,VAZQUEZ,25.0,Gaztea,4.0,150.0,65.25,Aurreratua,Estatikoa,Edge
Gizona,PABLO,ORTIZ,14.0,Nerabea,2.0,174.0,72.17,Aurreratua,Dinamikoa,Mono
Emakumea,JUANA,CARRASCO,16.0,Nerabea,2.0,165.0,58.94,Erdikoa,Dinamikoa,Mono
Gizona,RAFAEL,CAMPOS,14.0,Nerabea,0.0,180.0,64.56,Hasiberria,Estatikoa,Volume
Gizona,SANTIAGO,HERNANDEZ,18.0,Nerabea,11.0,177.0,60.57,Erdikoa,Nahasia,Jug
Gizona,DANIEL,RAMOS,36.0,Heldua,0.0,176.0,74.94,Hasiberria,Nahasia,Pinch
Gizona,DANIEL,ORTIZ,32.0,Gaztea,6.0,195.0,74.58,Profesionala,Dinamikoa,Sloper
Emakumea,ANE,SANTIAGO,17.0,Nerabea,6.0,170.0,49.75,Aurreratua,Dinamikoa,Jug
Gizona,CARLOS,RODRIGUEZ,38.0,Heldua,1.0,161.0,87.91,Erdikoa,Nahasia,Pinch
Gizona,GORKA,RUBIO,47.0,Heldua,2.0,177.0,83.37,Erdikoa,Nahasia,Edge
Emakumea,ROSA MARIA,MENDEZ,33.0,Gaztea,21.0,163.0,83.31,Aurreratua,Nahasia,Sloper
Gizona,ENEKO,BRAVO,37.0,Heldua,5.0,190.0,76.71,Erdikoa,Nahasia,Edge
Gizona,OIER,CABALLERO,34.0,Gaztea,4.0,176.0,68.3,Aurreratua,Nahasia,Sloper
Gizona,JORGE,SANZ,50.0,Heldua,3.0,174.0,78.59,Erdikoa,Nahasia,Jug
Emakumea,ANTONIA,BLANCO,18.0,Nerabea,0.0,146.0,63.92,Hasiberria,Nahasia,Edge
Emakumea,TERESA,RUBIO,33.0,Gaztea,15.0,169.0,73.24,Aurreratua,Nahasia,Mono
Emakumea,DOLORES,DIAZ,19.0,Nerabea,4.0,161.0,55.59,Aurreratua,Estatikoa,Sloper
Gizona,MARIO,NAVARRO,25.0,Gaztea,3.0,168.0,66.53,Erdikoa,Estatikoa,Jug
Gizona,JOSE LUIS,FERNANDEZ,17.0,Nerabea,7.0,173.0,77.21,Erdikoa,Dinamikoa,Sloper
Emakumea,MARIA JOSEFA,GIMENEZ,29.0,Gaztea,0.0,170.0,69.41,Erdikoa,Estatikoa,Jug
Emakumea,ANA,MUÑOZ,27.0,Gaztea,9.0,163.0,65.13,Aurreratua,Dinamikoa,Mono
Emakumea,MARIA JESUS,ORTIZ,29.0,Gaztea,2.0,164.0,73.99,Erdikoa,Estatikoa,Mono
Gizona,DANIEL,PARRA,53.0,Heldua,3.0,164.0,82.73,Erdikoa,Estatikoa,Sloper
Emakumea,MARIA CONCEPCION,GUERRERO,24.0,Gaztea,2.0,158.0,72.91,Erdikoa,Dinamikoa,Sloper
Emakumea,AMPARO,PASCUAL,20.0,Nerabea,7.0,161.0,61.07,Aurreratua,Dinamikoa,Pinch
Gizona,JOSE IGNACIO,GIMENEZ,18.0,Nerabea,6.0,177.0,65.95,Elitea,Estatikoa,Pinch
Gizona,JUAN,IGLESIAS,52.0,Heldua,5.0,170.0,84.86,Erdikoa,Nahasia,Edge
Emakumea,SARA,MARQUEZ,31.0,Gaztea,16.0,162.0,69.74,Aurreratua,Nahasia,Pinch
Emakumea,MARIA CARMEN,LORENZO,34.0,Gaztea,6.0,155.0,64.85,Aurreratua,Estatikoa,Pocket
Emakumea,MONICA,SANTANA,33.0,Gaztea,5.0,168.0,58.11,Erdikoa,Estatikoa,Crimp
Gizona,IVAN,ALVAREZ,19.0,Nerabea,7.0,166.0,69.7,Aurreratua,Nahasia,Sloper
Gizona,RAUL,IBAÑEZ,35.0,Gaztea,4.0,189.0,65.75,Aurreratua,Nahasia,Pinch
Gizona,PEDRO,IBAÑEZ,31.0,Gaztea,13.0,189.0,79.3,Aurreratua,Dinamikoa,Volume
Emakumea,MARIA LUISA,FERRER,23.0,Gaztea,4.0,152.0,59.44,Erdikoa,Estatikoa,Crimp
Gizona,UNAI,MORA,22.0,Gaztea,6.0,170.0,70.45,Aurreratua,Dinamikoa,Edge
Emakumea,RAQUEL,DIEZ,30.0,Gaztea,5.0,164.0,65.8,Profesionala,Nahasia,Crimp
Gizona,JESUS MARIA,CALVO,22.0,Gaztea,3.0,180.0,70.24,Erdikoa,Nahasia,Jug
Gizona,XABIER,MARQUEZ,50.0,Heldua,4.0,188.0,76.32,Erdikoa,Dinamikoa,Jug
Gizona,ANGEL,PRIETO,18.0,Nerabea,5.0,172.0,67.83,Aurreratua,Dinamikoa,Edge
Emakumea,MARIA VICTORIA,SANTIAGO,39.0,Heldua,4.0,171.0,72.21,Aurreratua,Estatikoa,Pocket
Gizona,IVAN,IGLESIAS,24.0,Gaztea,0.0,173.0,86.57,Hasiberria,Estatikoa,Mono
Emakumea,NURIA,DIEZ,37.0,Heldua,1.0,165.0,74.96,Hasiberria,Estatikoa,Crimp
Emakumea,MARIA PILAR,FUENTES,23.0,Gaztea,1.0,175.0,70.63,Hasiberria,Dinamikoa,Crimp
Emakumea,JOSEFA,DURAN,33.0,Gaztea,0.0,176.0,68.8,Hasiberria,Nahasia,Mono
Emakumea,JUANA,CRUZ,29.0,Gaztea,5.0,169.0,74.77,Erdikoa,Dinamikoa,Crimp
Gizona,JOSE MANUEL,FLORES,20.0,Nerabea,4.0,175.0,78.74,Erdikoa,Estatikoa,Mono
